Hours_Studied,Attendance,Sleep_Hours,Motivation_Level,Parental_Involvement,Access_to_Resources,Tutoring_Sessions,Internet_Access,Extracurricular_Activities,Peer_Influence,Learning_Disabilities,Physical_Activity,Gender
25,69,5,Medium,High,Low,2,Yes,Yes,Positive,No,4,Male
17,81,7,High,Medium,High,1,Yes,No,Negative,No,3,Female
21,67,7,Medium,Medium,High,3,Yes,No,Negative,Yes,3,Female
30,72,7,Medium,Medium,Low,0,Yes,No,Neutral,No,4,Male
25,73,6,Medium,High,Medium,3,Yes,Yes,Positive,No,2,Female
18,66,4,Medium,Medium,High,2,Yes,Yes,Negative,No,4,Female
15,68,5,Medium,Medium,Medium,0,Yes,Yes,Negative,No,5,Female
7,92,8,High,High,Medium,1,Yes,No,Neutral,No,4,Male
16,67,7,Low,Medium,Medium,2,Yes,No,Neutral,Yes,5,Male
19,61,8,Low,Low,High,1,Yes,Yes,Negative,No,3,Male
14,85,8,Low,Medium,Medium,1,Yes,Yes,Negative,No,4,Male
19,99,8,Low,Low,High,0,Yes,No,Negative,No,2,Male
20,73,8,Low,High,High,1,Yes,Yes,Negative,No,4,Male
19,65,7,Low,Medium,High,1,Yes,Yes,Neutral,No,4,Female
16,83,7,Medium,High,High,3,Yes,Yes,Negative,No,2,Male
21,96,4,Low,Medium,High,2,Yes,Yes,Positive,No,2,Male
23,91,6,Medium,High,Low,2,Yes,No,Positive,No,3,Male
13,85,6,Low,Low,Medium,1,Yes,No,Positive,No,5,Male
28,73,7,High,Low,Low,2,Yes,Yes,Neutral,No,3,Male
19,82,6,Medium,Low,Low,1,Yes,No,Neutral,No,2,Male
20,64,8,Low,Medium,Low,1,Yes,Yes,Positive,No,2,Male
24,87,6,High,Low,Medium,0,Yes,No,Neutral,Yes,2,Male
21,89,9,Medium,Medium,Low,0,Yes,Yes,Neutral,No,3,Male
26,99,6,High,Medium,Medium,2,Yes,No,Positive,No,3,Male
22,70,6,Medium,Medium,High,3,Yes,Yes,Positive,No,2,Female
16,61,6,Medium,Medium,High,2,Yes,Yes,Positive,No,3,Male
22,82,6,Medium,Low,High,3,Yes,No,Neutral,No,3,Male
13,88,9,Medium,High,Medium,0,Yes,Yes,Negative,Yes,3,Female
21,92,7,Medium,Medium,Medium,0,Yes,No,Neutral,No,4,Female
20,68,7,Medium,High,Medium,1,Yes,Yes,Neutral,No,3,Male
19,70,6,Medium,Medium,Medium,5,Yes,Yes,Positive,No,4,Female
19,81,7,Medium,High,Medium,1,Yes,No,Negative,No,5,Female
9,73,7,Medium,Medium,Low,3,No,Yes,Negative,No,3,Male
17,94,7,Medium,High,Medium,1,Yes,Yes,Neutral,No,3,Female
21,79,7,Medium,Low,High,1,Yes,Yes,Negative,No,3,Female
21,92,9,Medium,High,High,2,Yes,Yes,Neutral,No,5,Female
14,83,7,Low,High,Medium,1,Yes,Yes,Neutral,Yes,2,Female
28,91,5,Medium,Low,Medium,2,No,Yes,Neutral,No,2,Female
15,73,7,High,Medium,Medium,2,Yes,No,Positive,No,4,Female
26,93,6,Medium,High,Low,6,Yes,No,Negative,No,4,Female
23,71,8,Medium,Medium,High,0,Yes,No,Positive,No,2,Female
16,82,7,Medium,Low,High,0,Yes,No,Negative,No,2,Female
31,69,9,Medium,Medium,Low,2,Yes,Yes,Negative,No,2,Male
13,79,6,High,Low,Low,2,Yes,Yes,Positive,No,4,Male
26,73,7,Low,High,Medium,3,Yes,Yes,Neutral,No,5,Female
26,71,5,Low,Low,Medium,0,Yes,Yes,Neutral,No,5,Male
16,99,7,High,Low,High,0,Yes,Yes,Neutral,Yes,3,Female
28,66,5,Medium,Medium,High,1,Yes,No,Positive,No,1,Female
18,91,7,Medium,Medium,Medium,3,Yes,No,Neutral,No,2,Female
22,99,7,Medium,High,Low,3,Yes,No,Neutral,No,3,Female
22,61,7,Medium,Low,High,1,Yes,Yes,Positive,No,3,Female
19,88,8,Medium,Low,Medium,2,Yes,Yes,Neutral,No,4,Male
25,70,7,Medium,Medium,Medium,1,Yes,No,Negative,No,4,Female
25,62,5,Medium,High,Medium,0,Yes,No,Positive,No,4,Male
10,76,6,Medium,Medium,Low,1,Yes,No,Negative,No,2,Male
28,97,7,High,Medium,Medium,2,Yes,Yes,Neutral,No,2,Male
10,60,7,Low,Medium,Medium,3,No,No,Positive,No,3,Male
26,84,7,Low,Medium,Medium,2,Yes,No,Neutral,No,3,Male
27,80,9,Medium,Medium,Low,0,Yes,Yes,Neutral,Yes,2,Male
13,95,7,Medium,Medium,Medium,1,Yes,Yes,Positive,Yes,2,Female
18,63,8,Medium,High,High,2,Yes,No,Positive,No,4,Female
13,87,4,Low,High,Medium,3,Yes,Yes,Neutral,Yes,3,Male
19,87,8,Low,High,High,3,Yes,No,Neutral,No,4,Male
18,87,10,High,Medium,Low,2,Yes,Yes,Positive,No,3,Female
25,98,9,Medium,Medium,Medium,1,Yes,Yes,Neutral,No,2,Female
28,93,6,Medium,Low,High,1,Yes,Yes,Positive,Yes,2,Female
28,62,10,Medium,High,Medium,0,Yes,Yes,Positive,Yes,2,Male
17,79,7,Low,Medium,Medium,1,Yes,Yes,Positive,No,3,Female
19,76,7,Medium,High,Low,0,Yes,No,Neutral,No,2,Male
10,72,7,Medium,Medium,Low,3,Yes,No,Negative,No,4,Female
15,78,7,Medium,High,High,1,No,No,Negative,No,1,Male
26,75,4,Medium,Medium,Low,2,Yes,Yes,Negative,No,1,Male
30,77,8,Medium,Medium,Low,1,Yes,Yes,Positive,No,3,Male
13,99,7,Medium,Medium,Medium,1,Yes,Yes,Neutral,No,2,Male
16,64,7,High,High,Medium,4,Yes,Yes,Neutral,No,3,Male
20,97,7,Low,High,High,2,Yes,Yes,Neutral,No,4,Female
22,79,6,Medium,High,Medium,2,No,No,Positive,No,2,Female
15,85,7,High,Low,Medium,0,Yes,Yes,Negative,No,4,Female
23,93,9,Low,High,Low,0,Yes,Yes,Positive,Yes,3,Male
17,74,8,Low,Medium,Medium,1,Yes,Yes,Neutral,No,2,Male
20,77,7,Medium,Medium,Low,0,No,Yes,Positive,No,3,Female
23,76,7,Low,Low,Medium,1,No,No,Positive,No,4,Male
20,75,7,High,Low,Medium,0,Yes,No,Neutral,No,4,Male
17,97,6,Low,Low,High,2,Yes,Yes,Negative,No,2,Male
19,93,7,Medium,High,High,5,Yes,No,Negative,No,3,Female
19,64,8,High,Medium,Medium,1,Yes,Yes,Negative,Yes,3,Male
18,64,7,Low,Low,Low,2,Yes,Yes,Neutral,No,4,Male
18,77,6,High,Medium,Medium,0,Yes,Yes,Positive,No,2,Female
30,64,7,Low,Medium,Medium,1,Yes,No,Positive,No,3,Female
23,85,8,High,Low,High,2,Yes,Yes,Positive,Yes,1,Female
18,66,5,Medium,Low,High,4,Yes,Yes,Neutral,No,4,Male
24,81,6,Low,Low,Medium,3,Yes,Yes,Positive,No,3,Male
18,60,5,Medium,Medium,Medium,0,Yes,Yes,Neutral,No,2,Female
27,73,7,Medium,Low,Medium,2,Yes,No,Neutral,No,4,Female
22,87,8,Low,Medium,Medium,2,Yes,No,Negative,No,2,Male
19,79,9,Medium,Low,Medium,1,Yes,No,Neutral,No,4,Male
23,99,9,Medium,Low,Medium,0,Yes,No,Negative,No,4,Male
11,95,6,High,Medium,Medium,2,Yes,No,Positive,No,3,Male
13,74,7,High,Low,Low,0,Yes,Yes,Positive,No,3,Female
13,62,6,Medium,Low,Medium,3,No,Yes,Neutral,Yes,3,Female
21,94,9,Low,Medium,Medium,5,Yes,Yes,Neutral,Yes,3,Male
30,96,9,Medium,Medium,High,0,No,Yes,Neutral,No,3,Male
33,93,7,Low,High,High,0,Yes,Yes,Negative,Yes,2,Female
24,65,6,Low,Low,High,1,Yes,No,Neutral,No,2,Male
23,100,4,Medium,High,Low,2,Yes,Yes,Positive,No,4,Female
9,70,5,Medium,High,Medium,1,Yes,No,Neutral,No,4,Female
17,89,4,High,High,Medium,0,Yes,Yes,Positive,No,3,Female
15,96,5,High,Medium,High,2,Yes,Yes,Neutral,No,2,Male
16,69,10,Medium,High,Medium,0,Yes,Yes,Negative,Yes,1,Male
19,96,5,High,Low,Low,0,Yes,Yes,Positive,No,2,Male
17,72,5,Medium,Low,Medium,2,Yes,Yes,Negative,No,3,Male
8,99,6,High,Low,High,2,Yes,Yes,Positive,Yes,4,Male
24,71,10,Low,High,High,2,Yes,Yes,Positive,Yes,2,Female
14,98,7,Low,Medium,Medium,3,Yes,Yes,Neutral,No,3,Female
21,62,8,Medium,High,High,2,Yes,No,Negative,No,2,Female
32,88,7,Low,Medium,Low,1,Yes,Yes,Positive,No,4,Male
14,81,4,Low,High,Medium,3,Yes,No,Positive,No,4,Female
5,79,9,Low,High,High,3,Yes,Yes,Neutral,No,3,Female
18,69,8,Medium,High,Medium,4,Yes,Yes,Neutral,No,4,Male
27,88,7,High,Medium,Low,2,Yes,No,Neutral,No,4,Female
32,68,10,Medium,High,High,0,Yes,No,Positive,No,2,Male
13,82,6,High,High,Medium,2,Yes,No,Neutral,No,4,Male
23,70,7,High,Medium,High,1,Yes,Yes,Positive,No,3,Male
17,98,6,Low,Medium,Low,1,Yes,Yes,Neutral,No,2,Female
19,61,9,Medium,High,Medium,0,Yes,No,Negative,No,2,Female
36,68,8,High,Medium,Medium,2,Yes,Yes,Negative,No,3,Male
11,70,7,High,High,High,0,Yes,No,Negative,No,5,Male
22,77,5,Medium,Low,Medium,3,No,Yes,Positive,No,2,Male
23,69,6,Medium,Medium,Medium,3,Yes,Yes,Neutral,No,3,Male
27,80,5,High,Low,Low,3,Yes,Yes,Negative,No,3,Male
21,95,9,Medium,Medium,High,1,Yes,No,Neutral,No,2,Male
22,88,5,Low,Medium,Medium,1,Yes,Yes,Neutral,No,2,Male
18,83,9,Medium,High,Low,0,Yes,No,Neutral,No,4,Female
22,64,9,Medium,Low,Medium,1,Yes,Yes,Neutral,No,2,Male
18,88,6,Low,High,Medium,0,Yes,No,Neutral,No,4,Female
24,67,6,Medium,High,Low,0,Yes,Yes,Neutral,No,1,Male
18,91,6,Medium,Medium,Low,2,Yes,No,Neutral,No,4,Male
22,70,8,Low,Medium,High,2,Yes,Yes,Negative,No,2,Male
20,77,9,Medium,Medium,Low,2,Yes,No,Neutral,No,3,Male
27,74,9,High,Medium,Low,1,No,Yes,Neutral,No,3,Male
20,94,6,Medium,Low,Medium,0,Yes,Yes,Negative,No,4,Female
9,65,9,Medium,Medium,High,1,Yes,Yes,Neutral,No,3,Female
28,83,9,Medium,High,Low,0,Yes,No,Neutral,No,4,Male
15,66,7,Low,Low,High,0,Yes,Yes,Negative,No,3,Male
16,88,7,Medium,Medium,High,0,Yes,Yes,Positive,No,3,Female
16,96,9,Medium,High,Medium,0,Yes,Yes,Neutral,No,5,Male
28,77,9,Low,High,Medium,1,Yes,Yes,Positive,No,3,Female
7,80,9,Low,High,Medium,3,No,No,Neutral,No,3,Female
39,97,10,Medium,High,High,2,Yes,Yes,Positive,No,3,Female
26,81,8,Medium,Medium,High,2,Yes,Yes,Neutral,No,1,Male
21,80,7,High,High,High,1,Yes,Yes,Negative,No,2,Male
20,83,9,Low,High,Medium,0,Yes,Yes,Neutral,No,2,Male
22,88,10,Medium,Medium,Medium,2,Yes,Yes,Neutral,No,2,Female
23,64,6,High,Medium,Low,1,Yes,Yes,Positive,Yes,2,Female
24,93,7,Medium,Medium,Medium,5,No,Yes,Negative,No,4,Female
23,77,5,Medium,Medium,Medium,2,Yes,Yes,Negative,No,5,Female
21,63,8,Medium,Medium,Low,0,Yes,No,Negative,No,3,Female
19,91,8,Low,Medium,Low,4,Yes,Yes,Neutral,Yes,2,Female
19,75,6,High,Medium,Low,2,Yes,No,Neutral,No,3,Female
19,64,9,Low,Medium,Medium,2,Yes,Yes,Positive,No,4,Female
27,85,6,Low,Low,High,1,Yes,No,Negative,No,2,Male
24,95,6,Medium,High,Medium,2,Yes,Yes,Neutral,No,3,Male
2,96,9,Medium,Low,High,3,Yes,Yes,Neutral,No,2,Female
24,98,6,Low,Low,Low,2,No,No,Positive,No,4,Male
21,95,5,Low,Medium,Low,2,Yes,No,Neutral,No,4,Male
20,60,8,Low,Medium,Medium,1,Yes,Yes,Neutral,No,4,Female
18,75,7,Low,Low,Medium,0,Yes,Yes,Positive,Yes,2,Female
27,93,9,Low,Medium,Medium,1,Yes,Yes,Positive,No,2,Female
26,75,8,Medium,High,High,1,Yes,No,Neutral,No,4,Male
15,84,4,Low,Medium,Medium,2,Yes,No,Negative,No,3,Female
22,84,9,Medium,Medium,Medium,2,Yes,Yes,Neutral,No,4,Male
14,75,10,Medium,Low,Low,2,Yes,No,Negative,No,3,Female
12,96,9,Medium,Medium,Low,2,Yes,Yes,Positive,No,2,Male
16,80,9,Low,High,Low,0,Yes,No,Neutral,No,2,Female
25,79,7,Medium,Medium,Medium,0,Yes,Yes,Neutral,No,3,Female
26,100,6,High,High,Medium,1,Yes,Yes,Positive,No,3,Male
23,80,7,High,Medium,Low,1,Yes,Yes,Positive,No,4,Female
24,67,8,Medium,High,Medium,2,Yes,No,Positive,No,3,Female
23,81,8,Medium,High,Medium,5,Yes,No,Negative,No,2,Male
16,93,6,Medium,High,Low,2,Yes,No,Positive,No,4,Male
23,91,6,Medium,High,Medium,3,Yes,Yes,Negative,No,3,Male
25,92,5,Low,Medium,High,1,Yes,Yes,Negative,No,1,Male
25,88,8,Medium,High,Medium,2,Yes,Yes,Positive,No,3,Female
27,70,6,High,Medium,Medium,2,Yes,No,Neutral,No,2,Female
24,94,7,Medium,High,Low,1,Yes,No,Neutral,No,1,Male
22,96,10,Low,Low,High,1,Yes,Yes,Negative,No,3,Male
26,68,8,High,Medium,High,1,Yes,No,Neutral,No,2,Male
20,65,7,Medium,High,Medium,3,No,No,Neutral,No,4,Male
15,99,8,Medium,Low,Medium,2,Yes,Yes,Neutral,No,3,Male
19,95,9,Medium,Medium,Medium,2,No,Yes,Negative,No,3,Male
16,96,5,Medium,High,Medium,2,Yes,Yes,Positive,No,5,Male
16,95,6,Low,Medium,Low,2,Yes,No,Neutral,No,3,Female
19,82,7,Medium,Medium,Medium,1,Yes,No,Positive,No,3,Female
15,86,6,Medium,Medium,Low,0,Yes,No,Neutral,No,3,Male
18,82,7,Medium,Medium,Medium,3,Yes,No,Negative,No,3,Female
9,62,5,Low,Low,High,0,Yes,Yes,Positive,No,5,Female
21,90,8,Medium,Low,Medium,1,Yes,No,Negative,No,2,Female
20,80,6,Low,Low,Low,0,Yes,No,Negative,No,3,Male
15,86,7,Medium,Medium,Medium,1,Yes,No,Neutral,Yes,3,Female
24,80,7,Medium,Medium,High,0,Yes,Yes,Neutral,No,4,Female
26,80,8,High,High,Low,1,Yes,No,Neutral,No,3,Male
10,67,4,Medium,Medium,Medium,3,No,No,Positive,No,3,Male
15,71,8,Medium,High,High,0,Yes,No,Negative,No,3,Female
15,66,7,Medium,Low,Medium,2,Yes,No,Negative,No,3,Female
14,68,8,High,Medium,Medium,1,Yes,Yes,Positive,No,2,Female
25,99,5,Low,Medium,Low,2,Yes,No,Positive,No,4,Female
19,66,8,Medium,High,High,1,Yes,Yes,Positive,No,2,Female
18,71,9,Medium,High,High,1,Yes,Yes,Neutral,No,4,Male
8,84,7,Medium,High,High,1,Yes,No,Positive,No,4,Male
24,84,6,High,Low,High,2,Yes,Yes,Neutral,No,1,Female
13,66,6,Medium,High,Medium,3,Yes,Yes,Neutral,No,3,Male
20,92,8,High,Medium,High,0,Yes,No,Neutral,No,3,Male
22,91,8,Low,High,Medium,2,Yes,Yes,Neutral,No,3,Female
28,69,8,Low,Medium,High,0,Yes,No,Negative,No,3,Female
12,72,7,Medium,Medium,Low,0,Yes,Yes,Positive,No,3,Male
2,98,7,High,Low,High,2,Yes,Yes,Neutral,No,1,Male
21,93,7,Medium,Medium,Low,3,Yes,Yes,Neutral,No,1,Male
31,88,6,Medium,Medium,Low,2,Yes,No,Positive,No,4,Male
27,63,8,Medium,Low,Medium,3,Yes,Yes,Positive,No,3,Female
21,77,7,High,Low,Medium,3,Yes,No,Neutral,No,3,Male
17,82,9,Low,High,Low,3,Yes,No,Positive,No,2,Female
25,67,9,Medium,Medium,High,1,Yes,No,Positive,No,3,Female
14,78,7,Medium,High,Medium,0,Yes,Yes,Negative,Yes,2,Female
23,84,8,Medium,High,High,1,Yes,Yes,Positive,No,3,Male
23,73,6,Medium,High,High,1,Yes,No,Positive,No,3,Male
26,91,7,Low,High,Medium,3,Yes,Yes,Negative,No,3,Male
37,94,8,High,High,Medium,1,Yes,Yes,Positive,No,3,Male
22,73,5,Medium,Medium,Low,4,Yes,Yes,Positive,Yes,3,Female
17,94,8,Medium,Low,Medium,1,Yes,No,Positive,No,4,Male
20,64,6,Medium,Medium,Medium,3,Yes,Yes,Neutral,No,4,Female
9,94,6,Low,Medium,Medium,0,Yes,Yes,Positive,No,3,Male
16,66,6,Medium,Low,Medium,7,Yes,No,Negative,No,2,Male
18,63,7,Medium,Medium,Low,2,Yes,No,Positive,No,3,Female
17,86,5,Medium,Medium,Medium,2,Yes,Yes,Neutral,No,2,Male
21,79,8,Medium,High,Low,2,Yes,Yes,Positive,No,4,Male
15,96,7,High,Medium,High,3,Yes,Yes,Positive,No,1,Male
27,75,10,Medium,Medium,Low,3,Yes,Yes,Negative,No,3,Male
20,71,7,Medium,Medium,Medium,2,No,Yes,Negative,No,4,Female
20,80,8,Low,Medium,Low,0,Yes,Yes,Positive,No,3,Male
18,78,6,Low,High,High,1,Yes,Yes,Positive,No,5,Male
21,74,5,Medium,Low,Medium,1,Yes,Yes,Neutral,No,1,Male
25,88,8,Low,Medium,Low,2,Yes,Yes,Neutral,No,2,Female
15,90,5,Medium,Medium,Medium,0,Yes,No,Neutral,No,2,Male
16,94,8,High,Medium,High,2,Yes,Yes,Negative,No,3,Male
18,99,10,Medium,Medium,High,1,Yes,Yes,Neutral,No,4,Male
12,71,8,Medium,Medium,Medium,1,Yes,Yes,Neutral,No,2,Male
15,89,8,Low,Medium,High,2,Yes,Yes,Positive,No,2,Male
17,76,7,Low,Medium,Low,4,Yes,No,Neutral,No,2,Male
25,87,6,Low,High,Low,3,Yes,No,Neutral,No,3,Male
22,79,7,Medium,Medium,Medium,2,Yes,Yes,Neutral,No,2,Male
21,100,6,Medium,Medium,Medium,0,Yes,No,Positive,No,3,Male
25,89,5,Low,Medium,High,2,Yes,No,Negative,No,2,Female
19,98,7,Medium,Low,High,1,Yes,Yes,Neutral,No,4,Female
22,93,9,Medium,High,Low,2,Yes,Yes,Neutral,Yes,3,Male
19,96,5,Medium,Medium,Medium,1,Yes,No,Neutral,No,3,Male
22,93,9,Medium,High,Medium,2,Yes,No,Positive,No,2,Female
17,78,9,Low,Medium,Medium,1,Yes,Yes,Neutral,No,4,Female
5,70,8,Medium,High,High,3,Yes,Yes,Neutral,No,3,Male
19,75,8,Medium,Medium,High,2,Yes,No,Negative,No,5,Female
29,61,7,High,Low,Medium,1,Yes,Yes,Neutral,No,3,Male
26,81,7,Low,Low,Medium,1,Yes,No,Neutral,No,3,Male
26,80,6,Medium,Medium,High,0,Yes,Yes,Neutral,No,2,Female
27,81,7,Low,Medium,Medium,1,Yes,Yes,Neutral,No,2,Female
21,99,7,Medium,Medium,High,0,Yes,Yes,Neutral,No,4,Female
21,96,10,Low,High,Low,1,Yes,No,Neutral,No,3,Male
16,66,8,Low,Medium,Medium,1,Yes,Yes,Neutral,No,4,Male
18,75,7,Medium,Medium,Low,4,Yes,No,Positive,No,2,Female
24,77,7,Medium,High,Medium,3,Yes,Yes,Positive,No,2,Male
27,74,6,Medium,Medium,Medium,2,Yes,Yes,Neutral,No,2,Male
19,92,6,Medium,High,Medium,3,Yes,Yes,Positive,No,1,Male
17,81,8,Medium,Medium,High,1,Yes,No,Neutral,No,3,Male
20,83,6,Medium,Medium,Medium,2,Yes,No,Negative,No,4,Male
24,94,6,Low,Low,Medium,1,Yes,Yes,Negative,No,4,Female
11,92,6,Medium,High,High,2,Yes,Yes,Negative,No,1,Female
6,65,6,Medium,High,High,3,No,No,Neutral,No,1,Male
17,89,9,Medium,High,Low,0,No,Yes,Positive,No,2,Female
13,77,7,Low,Medium,High,0,Yes,Yes,Positive,No,1,Male
17,72,7,Low,High,High,1,Yes,Yes,Negative,No,4,Female
19,62,7,Low,Medium,Medium,1,Yes,No,Positive,No,3,Male
17,79,7,Low,Medium,Medium,1,Yes,No,Positive,No,3,Female
29,74,6,High,High,Medium,3,Yes,Yes,Positive,No,4,Female
22,70,5,High,Low,Medium,1,Yes,Yes,Negative,No,3,Male
22,88,9,Medium,Medium,Medium,2,No,No,Neutral,Yes,2,Male
24,91,8,Low,Medium,Medium,0,Yes,Yes,Neutral,No,2,Female
13,70,8,High,High,High,1,Yes,Yes,Positive,Yes,2,Male
26,62,8,Medium,Medium,Medium,2,Yes,Yes,Positive,No,3,Female
20,94,10,Low,Medium,Medium,1,Yes,Yes,Negative,Yes,4,Female
24,60,6,Medium,High,High,1,Yes,No,Positive,No,5,Male
14,97,5,Medium,Medium,Medium,3,Yes,Yes,Negative,No,2,Female
11,85,8,Low,Medium,Medium,2,Yes,Yes,Negative,No,4,Female
25,73,5,Low,Medium,Medium,0,Yes,Yes,Positive,No,2,Female
22,70,7,Medium,High,Low,0,Yes,No,Negative,No,3,Male
15,60,7,Low,Low,High,0,Yes,No,Negative,No,2,Male
15,69,8,Low,Medium,Medium,0,No,Yes,Negative,No,3,Male
27,66,6,Low,Low,High,1,Yes,No,Negative,No,4,Female
13,84,9,High,Medium,Medium,0,Yes,Yes,Negative,No,4,Female
30,67,6,Medium,Medium,High,1,Yes,No,Neutral,No,1,Female
15,81,8,Medium,Medium,Medium,0,Yes,Yes,Neutral,No,2,Male
24,84,6,Medium,Medium,Medium,2,Yes,Yes,Positive,No,2,Male
18,72,8,Medium,High,High,0,Yes,Yes,Positive,Yes,4,Female
24,61,5,Medium,High,Medium,1,Yes,Yes,Neutral,No,5,Female
17,61,7,Low,High,Medium,1,Yes,No,Positive,No,4,Female
19,61,9,Medium,Medium,Low,2,Yes,No,Neutral,No,2,Female
20,90,7,Low,Low,Medium,4,No,No,Positive,No,4,Female
14,73,9,Medium,Medium,High,1,Yes,Yes,Negative,No,3,Female
24,92,7,High,High,High,0,Yes,No,Positive,No,3,Female
17,77,6,Low,Medium,Medium,1,Yes,Yes,Positive,No,1,Male
19,78,7,Medium,High,High,2,Yes,No,Neutral,No,4,Female
14,81,8,Low,Low,Medium,1,Yes,No,Neutral,Yes,3,Female
5,89,4,High,Medium,Medium,2,Yes,Yes,Neutral,No,3,Male
19,71,8,Medium,Medium,Medium,2,Yes,No,Positive,No,4,Male
34,65,6,High,Medium,Medium,0,Yes,Yes,Negative,No,3,Male
25,82,5,Medium,Medium,Medium,0,No,Yes,Positive,No,4,Male
20,73,8,Low,Medium,Medium,1,Yes,No,Positive,No,3,Male
18,78,9,High,Medium,High,1,Yes,Yes,Negative,No,2,Male
20,86,7,Medium,Medium,Low,1,Yes,Yes,Negative,No,2,Male
23,80,5,Medium,Low,Low,1,Yes,Yes,Neutral,No,4,Male
13,85,6,Medium,High,Low,2,Yes,Yes,Positive,No,1,Female
27,82,6,Low,Medium,Medium,2,No,Yes,Positive,No,2,Male
24,90,7,Medium,Medium,Medium,2,Yes,No,Neutral,No,2,Male
24,88,7,Medium,Medium,Low,2,Yes,Yes,Neutral,No,2,Male
23,81,8,High,High,Medium,4,Yes,No,Positive,No,3,Male
20,87,8,Low,Medium,Medium,2,Yes,No,Neutral,No,3,Male
24,95,8,Medium,High,High,2,Yes,Yes,Negative,No,2,Female
24,77,8,High,Medium,High,1,Yes,No,Positive,Yes,2,Female
18,77,7,Low,Medium,Medium,2,Yes,Yes,Neutral,No,4,Male
17,91,10,Low,Medium,Low,1,Yes,Yes,Neutral,Yes,3,Female
21,83,8,Low,Medium,Low,2,Yes,Yes,Negative,Yes,4,Male
29,63,8,Medium,Medium,High,0,Yes,Yes,Positive,No,2,Female
13,96,10,Medium,Medium,Medium,1,Yes,No,Positive,No,3,Female
11,61,7,High,Medium,Low,5,Yes,Yes,Positive,Yes,4,Male
21,90,6,Medium,Medium,Medium,2,Yes,No,Negative,No,3,Female
20,90,9,Medium,High,High,2,Yes,No,Negative,No,2,Female
21,98,9,High,Medium,Medium,3,No,Yes,Neutral,Yes,3,Female
21,62,7,Low,Medium,Medium,1,Yes,No,Positive,No,3,Female
19,84,10,Medium,High,Medium,0,Yes,No,Negative,No,3,Female
29,77,7,Medium,Medium,Medium,5,Yes,No,Positive,No,4,Female
10,73,8,Low,Low,High,1,Yes,Yes,Positive,No,2,Female
15,64,9,High,High,High,1,Yes,Yes,Neutral,No,3,Female
19,83,7,Medium,Medium,High,1,Yes,Yes,Positive,No,3,Female
10,79,8,High,High,Medium,1,No,No,Neutral,No,4,Female
19,64,9,High,Low,Medium,0,Yes,Yes,Neutral,Yes,3,Male
30,84,6,Medium,Low,Medium,2,Yes,No,Negative,No,2,Male
20,90,6,High,Low,Medium,3,No,No,Neutral,No,2,Male
21,91,9,Medium,Medium,High,5,Yes,Yes,Negative,No,2,Male
12,96,7,High,Low,Medium,2,Yes,Yes,Positive,No,2,Male
16,76,6,Low,Low,Medium,1,Yes,No,Neutral,No,3,Female
18,98,7,Low,High,High,3,Yes,Yes,Neutral,No,1,Female
18,95,8,Low,High,High,2,Yes,Yes,Positive,No,3,Female
28,72,5,Low,High,Medium,5,No,Yes,Negative,No,2,Male
23,66,8,Medium,High,Low,0,Yes,Yes,Negative,No,4,Female
13,77,8,Low,Medium,Medium,3,Yes,Yes,Neutral,No,3,Female
21,76,9,Low,High,High,1,Yes,Yes,Neutral,No,3,Female
23,83,7,Low,Medium,Medium,3,Yes,Yes,Neutral,No,2,Male
27,83,9,Medium,Medium,High,2,Yes,Yes,Positive,No,2,Male
29,90,7,Low,High,Low,1,Yes,Yes,Positive,No,3,Female
14,80,7,Medium,Medium,Medium,1,Yes,Yes,Neutral,No,3,Male
15,64,7,Low,High,Medium,0,Yes,No,Neutral,Yes,3,Female
12,94,10,Medium,Medium,Medium,1,Yes,Yes,Neutral,No,2,Female
19,72,5,Low,Low,High,3,No,Yes,Positive,No,2,Female
23,99,8,Low,Low,Medium,2,Yes,No,Positive,Yes,3,Female
26,65,7,Medium,Low,Medium,4,Yes,Yes,Negative,No,3,Female
20,98,7,High,High,Medium,2,No,Yes,Negative,No,2,Female
18,64,8,Medium,High,High,3,Yes,No,Positive,No,3,Male
21,69,9,High,Medium,Medium,2,Yes,Yes,Positive,No,5,Male
15,62,8,Medium,Medium,High,1,Yes,No,Positive,No,3,Male
33,88,9,Medium,Medium,Low,1,Yes,No,Negative,No,3,Male
10,94,7,High,High,Medium,3,Yes,Yes,Positive,No,3,Male
21,77,7,Medium,Medium,Low,0,Yes,Yes,Negative,No,3,Male
32,97,5,Low,High,Low,1,Yes,Yes,Positive,No,5,Female
20,84,10,High,Medium,Medium,1,Yes,Yes,Neutral,No,2,Male
19,85,7,Low,High,High,2,Yes,No,Negative,No,3,Male
18,94,7,Medium,Medium,Low,4,Yes,Yes,Positive,No,3,Female
19,72,8,Low,Medium,Medium,1,Yes,Yes,Positive,No,2,Female
28,74,9,Low,Medium,Medium,0,Yes,Yes,Neutral,No,3,Female
7,96,6,Medium,High,Medium,2,Yes,Yes,Neutral,No,1,Female
29,96,9,Low,High,High,0,Yes,Yes,Neutral,No,4,Male
11,99,7,High,Medium,High,4,No,Yes,Neutral,No,3,Male
18,96,9,Medium,Medium,Low,4,Yes,No,Neutral,No,3,Male
17,65,6,Medium,High,Medium,1,Yes,Yes,Neutral,No,3,Male
24,93,8,Medium,High,Medium,0,Yes,Yes,Positive,No,1,Male
